source_file,date_time_original,model
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400201/20241004_105257_paper_card.JPG,2024:10:04 10:52:25,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00776.JPG,2024:10:04 11:01:15,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00777.JPG,2024:10:04 11:01:15,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00795.JPG,2024:10:04 12:41:09,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_124211_road.JPG,2024:10:04 12:41:09,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00796.JPG,2024:10:04 12:43:21,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_125656_inlet.JPG,2024:10:04 12:43:21,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00797.JPG,2024:10:04 12:43:26,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_125650_upstream.JPG,2024:10:04 12:43:26,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00798.JPG,2024:10:04 12:43:52,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_125727_blockage.JPG,2024:10:04 12:43:52,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00799.JPG,2024:10:04 12:51:40,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_125757_condition.JPG,2024:10:04 12:51:40,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00801.JPG,2024:10:04 12:51:54,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_125807_massiveoutletpool.JPG,2024:10:04 12:51:54,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00803.JPG,2024:10:04 12:52:02,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_125642_barrel.JPG,2024:10:04 12:52:02,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/TC_00804.JPG,2024:10:04 12:52:22,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600285/20241004_125738_beaverdamblockage.JPG,2024:10:04 12:52:22,iPhone 12 mini
