rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
72,1009900404,,9900404,pscis_phase1.xlsm,Barrier,2.2,6,3,Replace Structure with Streambed Simulation CBS,4.5
73,1009900446,,9900446,pscis_phase1.xlsm,Barrier,4.1,5,2,Replace with New Open Bottom Structure,21
74,1009902577,,9902577,pscis_phase1.xlsm,Barrier,7.6,0.9,-2.1,Replace with New Open Bottom Structure,15
75,1009900262,,9900262,pscis_phase1.xlsm,Barrier,0.8,2.5,-0.5,Replace Structure with Streambed Simulation CBS,3
76,1009900380,,9900380,pscis_phase1.xlsm,Barrier,1.6,1,-2,Replace Structure with Streambed Simulation CBS,3
77,1009900385,,9900385,pscis_phase1.xlsm,Barrier,1.4,1.2,-1.8,Replace Structure with Streambed Simulation CBS,3
78,1009900277,,9900277,pscis_phase1.xlsm,Potential,2.3,2,-1,Replace with New Open Bottom Structure,15
79,1013900100,,13900100,pscis_phase1.xlsm,Barrier,15,4.5,1.5,Replace with New Open Bottom Structure,19.5
80,1013900026,,13900026,pscis_phase1.xlsm,Barrier,1.4,0.8,-2.2,Replace Structure with Streambed Simulation CBS,3
81,1013905537,,13905537,pscis_phase1.xlsm,Barrier,3.3,7,4,Replace Structure with Streambed Simulation CBS,4.5
82,1013900027,,13900027,pscis_phase1.xlsm,Barrier,3.1,0.3,-2.7,Replace with New Open Bottom Structure,15
83,1013905538,,13905538,pscis_phase1.xlsm,Barrier,3.1,9.9,6.9,Replace Structure with Streambed Simulation CBS,4.5
84,1013900309,,13900309,pscis_phase1.xlsm,Barrier,3.8,1.6,-1.4,Replace with New Open Bottom Structure,15
85,1013900306,,13900306,pscis_phase1.xlsm,Barrier,3,2,-1,Replace with New Open Bottom Structure,15
86,1013900305,,13900305,pscis_phase1.xlsm,Barrier,2.2,0.5,-2.5,Replace with New Open Bottom Structure,15
87,1013903451,,13903451,pscis_phase1.xlsm,Barrier,1.4,1,-2,Replace Structure with Streambed Simulation CBS,3
88,1013903452,,13903452,pscis_phase1.xlsm,Barrier,3.2,1.5,-1.5,Replace with New Open Bottom Structure,15
89,1013903450,,13903450,pscis_phase1.xlsm,Barrier,1.9,0.6,-2.4,Replace Structure with Streambed Simulation CBS,3
